Area,Bedrooms,Bathrooms,Stories,Parking,Age,Distance_City,School_Rating,Crime_Index,Hospital_Distance,Mall_Distance,Public_Transport,Garden,Pool,Garage,Income_Area,Population_Density,Air_Quality,Property_Tax,Price
1031,1,3,1,0,13,25.73,3,5.22,0.86,15.17,5,0,1,1,133360,12982,46.91,6322,1414902
2378,3,4,1,0,35,15.69,3,1.12,5.24,19.52,1,1,1,1,146692,5046,105.97,6486,2559066
1024,6,1,1,1,32,22.98,8,5.36,12.26,16.29,4,1,1,1,71543,7988,71.0,5976,2547133
1935,5,1,2,1,26,28.57,6,6.23,5.96,0.7,4,1,0,0,107535,9612,148.43,1505,2007583
4518,3,2,3,1,42,22.4,4,2.4,5.39,7.19,8,1,1,1,128851,3715,95.67,6608,2602017
2544,1,3,4,4,29,16.89,8,8.11,2.95,17.23,7,1,0,1,131308,10071,123.41,2183,2740475
3412,2,5,2,4,32,27.03,1,9.16,1.94,2.86,10,1,1,1,74218,9289,94.66,5031,2589737
1195,4,3,4,3,22,4.56,3,9.63,14.21,16.2,7,0,1,1,112855,18966,106.63,1388,2688151
2997,5,3,3,1,42,25.65,5,7.66,6.74,9.87,7,1,0,0,140397,18271,89.69,8158,2921575
3284,1,1,1,2,38,10.73,7,7.7,10.55,3.26,4,1,0,1,125783,1000,140.08,5665,1362624
1763,6,4,1,3,24,3.63,6,7.04,8.49,14.26,8,0,1,0,20093,5082,23.78,4661,2872025
4998,1,1,2,0,48,27.43,10,4.84,17.12,8.86,4,1,0,0,46128,15042,49.06,5099,1618437
2333,4,3,4,3,0,14.07,2,6.21,14.08,7.28,6,1,1,0,97195,13870,83.59,1556,3128065
2635,4,4,2,4,15,2.74,5,7.53,0.61,18.95,6,1,1,1,117814,8399,113.43,1820,3537380
4739,5,4,1,0,10,10.25,2,2.23,12.0,3.93,7,0,1,1,149032,16731,121.06,1797,3330939
3185,5,1,3,0,5,23.5,7,2.1,6.65,15.86,1,0,0,0,140109,19502,107.3,1572,3032313
2217,5,5,3,2,25,13.51,4,6.68,14.71,6.02,7,0,0,1,33714,7403,33.95,9702,2979032
3596,4,1,2,1,6,6.43,1,4.15,2.95,13.38,5,0,1,0,33574,3337,145.64,1685,2024095
3394,5,3,1,4,18,5.4,10,3.54,16.6,6.61,8,0,0,0,52362,18778,90.49,8334,3156090
4335,4,4,1,3,10,25.33,9,6.2,6.74,19.91,2,0,1,0,104890,7461,93.34,8706,3497968
2284,5,4,3,2,42,21.14,4,1.19,2.45,4.33,4,0,0,1,112490,779,43.45,7256,3126871
4676,2,1,4,0,22,28.04,9,1.72,6.85,4.84,2,0,1,1,27402,11677,76.9,8357,2352777
4205,4,1,2,4,35,18.4,1,8.87,1.65,3.54,8,1,1,1,24390,12215,85.45,4042,2200325
605,2,4,1,3,28,14.92,8,2.0,17.5,3.81,10,1,0,1,62418,11693,117.58,8624,1639343
2051,4,3,4,3,16,21.09,2,7.25,6.53,4.96,6,0,1,1,114263,10345,146.43,5868,3108983
4856,2,3,2,3,41,25.39,10,6.16,1.45,2.69,9,1,0,0,127339,4177,60.91,8090,2915174
2545,2,5,3,0,20,14.07,5,7.62,10.14,1.22,6,0,1,0,147212,18345,46.3,4432,2537588
2329,3,4,3,0,11,22.9,6,5.58,8.85,5.35,5,1,1,0,110197,8398,131.03,9855,2508232
2500,3,5,3,1,17,23.19,8,1.48,2.0,17.34,6,1,0,1,45215,18044,90.71,4318,2682535
2706,6,2,4,0,24,3.75,9,7.73,8.1,3.63,9,1,1,1,83098,14195,114.03,3946,3392220
4345,1,2,3,2,30,17.03,8,7.77,14.05,8.56,2,0,0,0,43442,19240,143.68,2479,1490340
2326,2,5,1,3,11,10.78,10,3.26,14.78,18.27,6,1,1,1,56464,2611,129.63,3690,2752238
4913,5,2,1,2,49,0.61,4,4.12,4.88,4.46,3,0,1,1,45006,11194,106.81,1148,2854210
4159,5,5,4,2,28,3.46,9,6.26,9.02,3.22,4,0,1,0,88748,14191,42.44,9845,4235898
4892,3,4,3,1,19,13.43,1,7.17,10.72,17.53,9,0,0,0,95578,6070,130.63,9919,2800367
1950,5,5,3,3,29,28.02,4,4.54,2.02,4.45,1,1,1,0,33517,15871,40.5,7457,2911929
4711,1,2,2,3,19,18.46,9,8.43,6.04,17.78,8,1,0,0,76768,8349,53.04,4646,1860940
2373,1,1,1,3,26,7.43,7,4.88,19.7,19.44,9,1,1,1,60111,2871,57.71,1043,1884419
3213,4,5,4,1,10,26.9,6,1.68,16.83,12.86,9,1,1,0,24769,13038,115.04,7792,2848107
992,2,4,1,2,26,17.94,2,4.98,12.44,7.04,9,0,1,0,138164,10732,56.07,1391,2103052
3685,6,4,3,2,30,26.27,4,8.64,3.38,1.98,6,0,0,1,40037,7429,120.64,4195,3054534
2679,6,3,1,3,4,24.11,1,7.18,15.24,12.52,6,0,0,0,106667,1336,148.76,1498,2799849
4053,4,1,3,4,21,7.4,4,6.91,15.64,10.24,2,1,1,1,66770,8871,115.62,2081,2757625
1858,3,5,2,1,0,24.71,3,5.57,13.59,11.2,6,0,0,1,38178,4126,129.82,7430,2343165
529,1,2,4,4,27,5.4,1,8.66,15.31,9.81,4,0,1,0,50367,10177,51.02,5047,1307287
3493,1,2,4,2,38,12.22,3,8.09,5.17,4.99,5,1,0,0,83154,13377,66.12,4448,1833027
1764,6,5,3,4,1,6.14,1,5.7,12.99,16.51,5,1,0,0,97435,2033,86.99,1333,3716479
968,3,5,4,0,21,17.74,6,2.06,2.94,4.62,8,0,0,0,100516,2203,82.83,5733,2575790
4354,5,2,1,0,30,4.18,5,8.69,0.69,4.41,5,1,1,1,139977,17865,71.5,8975,3130215
4422,3,3,4,3,24,28.4,8,2.22,8.18,14.73,5,1,1,0,39396,718,92.58,9900,2669465
2080,4,5,2,4,40,5.04,3,8.11,13.73,11.92,5,0,1,0,96135,8595,120.58,2916,2963479
649,2,4,3,3,28,11.52,7,4.77,6.15,11.4,1,0,0,1,45729,13619,81.08,2138,2208061
3081,2,3,1,1,21,7.7,7,8.98,3.56,16.68,9,0,0,0,47419,12227,51.24,7007,1580439
3753,1,5,3,1,11,18.2,9,8.53,17.65,6.16,1,0,0,1,101186,16518,128.65,5990,2686326
3195,3,4,2,3,29,1.59,10,9.57,1.28,19.67,8,0,1,1,127856,13258,146.97,6511,3390903
4192,2,5,4,0,49,27.92,4,7.96,5.39,7.19,4,1,0,0,88011,1161,58.13,2794,2644689
3070,4,5,3,1,2,14.48,3,8.25,18.01,10.31,9,1,1,0,108792,14404,143.88,2652,3291478
3123,5,4,2,1,26,7.79,2,2.07,5.64,17.25,8,1,1,0,143324,5264,70.05,8816,3385435
4999,1,5,2,4,7,5.4,8,7.82,12.66,17.03,9,1,0,1,95687,19587,28.32,7624,2961110
4840,3,1,3,4,49,10.37,6,2.74,14.41,1.7,5,0,1,1,46634,4562,88.85,7036,2882302
3805,4,1,4,0,27,22.67,5,3.3,14.34,17.02,5,1,0,0,27747,9404,24.71,8283,2322426
3861,1,2,2,0,3,21.93,5,9.72,1.29,15.49,10,1,0,1,88688,5786,42.94,9246,1867977
3002,2,4,2,2,16,29.85,8,6.18,14.95,3.41,6,0,1,0,126489,13969,73.02,6270,2502193
4148,6,3,4,4,44,29.36,4,9.59,9.94,1.81,1,1,0,0,66478,19836,27.17,8047,3480167
4264,1,5,3,1,45,12.34,2,5.28,18.6,14.16,5,0,0,1,69416,2429,26.08,2981,2151759
1315,4,4,4,3,22,4.86,1,4.94,19.82,17.69,10,1,0,1,76357,7479,116.37,6337,2514078
3862,3,2,4,1,36,21.76,1,7.19,4.61,11.18,2,1,1,1,72119,4939,141.28,3751,2481656
783,2,3,3,1,4,12.19,4,6.17,6.71,6.53,7,1,1,0,63969,14214,27.04,5632,2139896
4328,5,2,1,1,27,18.8,7,7.24,2.6,14.35,6,0,0,1,139313,2619,50.88,1483,3188635
2354,1,2,2,0,45,13.24,8,4.92,19.42,6.09,1,1,0,0,56400,5637,101.54,2866,1296676
2773,2,3,2,1,32,22.49,2,5.2,13.48,7.63,2,0,0,1,79386,7851,44.28,4663,1828906
4133,5,5,4,2,22,10.3,6,2.2,2.65,2.82,8,0,1,1,148683,16809,21.09,3563,4640477
795,5,4,4,2,18,3.23,4,4.09,13.64,11.86,9,1,0,1,93572,13513,97.57,7539,3177404
3069,4,1,1,3,41,6.02,6,1.57,2.2,16.11,10,1,1,0,133508,19670,46.1,9535,2786111
3240,2,1,2,3,12,8.38,5,8.27,7.02,13.1,2,1,1,0,34679,6967,141.93,7830,1569451
3749,3,4,1,2,9,28.19,7,7.93,5.34,16.34,3,1,1,0,117184,17213,32.32,1039,2698846
2709,5,1,2,4,46,13.56,10,6.03,5.81,15.6,9,1,0,1,120670,10397,91.99,2956,2770663
3791,5,1,4,4,15,0.74,1,5.69,0.85,10.54,10,0,1,0,91631,4456,54.81,4155,3266589
2815,6,1,3,0,35,25.25,2,7.25,17.92,7.11,4,1,1,0,103199,6541,144.99,4865,2211971
1296,4,4,3,3,1,26.75,2,2.45,19.14,6.17,7,1,1,1,38898,17071,34.92,6680,3061708
4790,2,4,2,0,29,24.64,5,6.6,16.56,15.78,5,1,0,0,70959,647,132.06,3435,1759956
2504,2,1,3,3,23,12.81,6,5.46,18.08,2.84,7,1,1,1,131492,17286,102.12,4458,2119894
2838,5,5,3,0,19,7.44,9,6.13,15.2,6.17,2,1,1,1,25172,17813,70.13,6291,3308633
1566,2,2,1,3,9,29.8,9,9.26,8.02,2.33,3,1,0,0,107752,19128,67.33,6948,1904955
2558,3,5,4,0,32,22.5,6,8.7,4.4,5.29,1,0,1,1,103032,9650,129.25,8763,3034658
4845,3,5,1,4,11,0.95,10,4.45,7.93,4.32,6,1,0,1,77093,5848,38.05,7788,3944015
2432,1,2,4,2,14,27.22,2,5.79,12.45,12.34,6,1,1,0,41102,4897,136.22,1290,1300546
4222,4,1,1,3,8,17.14,6,8.81,0.85,15.1,10,1,1,1,49256,12452,106.7,5547,2326093
2809,6,2,1,0,47,6.9,4,7.62,2.91,10.81,7,1,0,1,75316,16436,144.76,5210,2593663
4449,6,2,1,0,5,20.03,1,3.66,11.25,10.43,4,1,0,1,22338,3283,103.51,8323,2777439
4396,5,3,2,1,47,28.01,3,2.2,4.63,4.91,10,0,0,1,36796,12299,135.06,9069,2628500
4194,2,4,4,2,23,13.65,6,1.43,19.9,13.34,9,1,0,0,33081,9739,88.42,8077,2376983
2361,6,4,2,4,14,17.68,7,7.4,10.92,11.07,9,1,0,0,119368,9850,80.08,5040,3621323
4620,5,3,4,3,3,26.47,10,7.31,14.58,5.27,10,0,1,0,37144,2288,39.53,6197,3562710
3836,1,4,4,4,18,12.64,8,6.8,10.74,15.97,9,1,0,1,117818,3069,133.5,6334,2978636
3187,5,2,1,0,45,17.03,8,2.56,19.08,6.98,1,0,1,1,48018,16698,83.36,7922,2221497
3785,6,2,4,2,18,23.09,10,9.49,17.62,13.74,10,0,1,0,126180,4928,22.64,3020,3426720
747,1,3,2,4,26,20.2,10,1.52,4.05,2.17,8,1,1,0,53208,19593,119.74,1700,2113147
3756,4,1,1,4,0,0.55,5,6.68,7.38,14.05,3,1,0,0,83408,10100,133.95,7456,2742453
3363,6,2,3,4,12,25.68,6,2.03,2.92,9.56,6,0,0,0,133330,8889,46.74,4850,3647704
2400,4,4,3,3,43,14.78,8,2.91,18.11,15.85,3,1,1,1,62293,2075,46.89,2140,2856437
2953,6,5,4,4,5,8.07,8,9.21,1.96,17.96,3,0,1,0,143256,19388,97.52,8886,4480580
3730,4,4,4,2,30,4.97,2,5.14,15.14,3.82,4,1,1,1,85595,8527,121.74,1826,3305826
1758,3,2,4,4,23,21.6,6,3.93,9.19,14.85,7,1,0,1,115590,844,81.69,2533,2435926
4589,2,5,2,4,19,24.44,7,3.41,14.66,15.11,2,0,1,0,54119,7204,105.31,4875,2629239
3734,2,4,3,3,44,9.29,4,6.22,15.36,11.87,2,1,1,1,48535,1040,28.02,7453,2570440
3695,2,1,1,2,43,2.78,5,1.51,10.45,17.47,1,1,0,0,46801,12425,119.47,4201,1777574
2518,5,4,3,1,30,27.7,3,7.89,12.12,11.82,9,1,1,1,81448,2505,63.5,5885,3187506
802,4,1,2,4,38,11.83,10,9.37,6.85,14.22,3,1,0,0,106095,4671,94.6,4553,1919548
2237,2,4,2,3,16,12.91,3,1.58,8.97,11.13,9,1,0,1,85499,16295,30.87,3218,2295346
4811,3,2,3,0,46,17.92,7,7.78,9.72,13.5,6,1,0,0,48850,12578,67.0,3124,2404071
3147,5,4,1,3,12,0.67,3,7.91,11.17,17.46,3,0,0,1,144587,5209,90.61,8189,3621059
4578,1,3,2,2,38,19.64,5,5.36,3.55,10.76,5,1,1,1,56304,12294,61.72,8452,2040932
4759,2,1,1,0,35,28.5,1,5.74,1.46,11.03,6,1,1,1,118325,1337,117.13,6544,2045346
1410,6,1,3,4,0,3.71,9,9.14,11.34,13.77,7,1,1,1,53244,16869,76.58,4475,3407936
4853,6,5,4,3,12,24.99,5,4.5,6.94,18.75,4,1,1,1,56241,19311,73.1,4749,4239829
4428,5,2,2,3,10,15.31,10,9.32,7.23,4.04,8,1,0,1,52096,9946,148.3,1823,3074440
1848,1,5,3,0,20,27.29,1,3.27,3.05,8.63,10,1,1,0,98010,2991,55.06,8975,2252016
2435,4,4,1,4,34,22.66,6,6.23,12.33,2.32,5,1,0,1,77126,12455,46.65,8228,2899926
4818,3,5,4,2,32,22.55,6,9.13,17.51,9.33,4,0,1,1,54595,13289,28.39,8129,3146531
3122,2,3,4,2,30,14.56,5,3.13,12.98,2.05,4,1,1,1,68390,13066,137.32,2191,2339703
4991,5,5,4,2,23,15.04,9,8.64,4.81,14.74,10,0,0,0,62426,19806,21.6,5696,3891131
1428,4,2,4,2,35,11.25,1,3.9,11.56,11.65,5,1,0,1,73575,4618,131.76,8689,2060664
1603,2,5,2,1,3,23.36,7,4.03,4.44,17.61,4,1,1,1,142251,19679,107.17,1329,3152694
3743,2,5,2,0,38,12.4,1,5.73,11.42,15.4,6,1,0,1,149005,6737,80.46,7961,2573867
888,5,4,4,1,37,19.42,9,7.52,17.42,16.99,7,0,1,1,85961,11179,140.89,1182,2641547
2894,3,3,1,3,45,4.64,7,2.41,12.39,19.47,1,0,0,1,100236,8079,112.39,3417,2552952
3413,2,4,2,2,18,11.88,1,3.99,6.43,2.03,6,1,1,0,28871,15534,77.47,4330,2499980
4123,2,3,3,4,5,21.64,10,8.08,17.03,9.48,1,1,0,1,63166,10835,119.43,1036,2768846
2103,6,4,3,4,40,14.58,7,5.69,17.47,18.94,1,1,0,1,30757,6722,130.77,7696,3248770
4173,2,1,2,4,6,9.87,9,3.18,9.27,1.05,3,1,1,0,78955,19150,134.06,3549,2399716
2865,6,5,2,2,5,7.07,2,5.31,0.55,17.78,4,0,1,0,24369,13869,92.7,9222,3250718
3982,5,1,4,3,10,6.37,7,4.83,13.5,1.4,7,1,1,1,142425,11965,93.34,8354,3835388
3179,3,1,1,2,47,22.84,8,5.33,13.35,7.4,1,1,0,0,63019,17971,104.63,9227,1835413
1029,1,5,3,2,33,13.7,4,4.08,10.33,15.24,8,0,0,0,40043,9941,142.36,1268,1522573
1201,3,1,4,2,37,7.72,7,4.41,10.7,2.82,2,0,1,1,102534,13030,146.0,2463,2184603
2830,1,3,4,2,2,1.74,5,4.02,6.37,19.0,9,0,0,1,23028,13808,133.64,1608,2209829
3040,5,3,2,2,27,19.65,9,9.51,18.45,4.89,7,0,0,1,58388,16465,38.21,3699,2728671
3472,3,5,1,3,2,15.96,4,3.12,1.76,15.38,5,0,1,1,104790,13835,72.18,5059,2969679
832,6,1,3,2,13,17.96,9,1.16,14.18,17.52,9,1,1,0,130384,10860,33.58,1167,3363916
1396,6,4,1,4,37,15.31,8,2.9,10.21,0.77,10,0,1,1,145730,17975,138.43,2681,3435244
645,2,5,3,3,38,3.7,3,5.95,7.61,2.47,5,1,1,1,70469,5528,68.06,4795,2266495
1768,3,2,4,0,8,13.52,10,5.51,8.2,15.52,3,1,1,1,84000,9678,67.3,1981,3014212
4641,5,4,1,3,14,19.73,2,7.83,15.59,2.33,7,0,1,0,70155,3202,54.46,5136,3246345
1217,4,3,1,2,16,23.1,6,2.67,5.59,19.39,9,0,1,1,115472,12595,53.4,2876,2538926
4292,5,1,3,4,32,14.81,7,2.22,12.26,16.31,4,1,0,1,142015,11158,115.67,6119,3361554
4393,6,4,1,3,18,19.97,2,3.8,5.6,15.38,5,0,0,1,110936,4562,44.74,4133,3576839
1769,3,3,3,3,5,16.93,3,8.36,8.89,3.47,2,0,1,0,133126,12299,64.81,1145,2702061
2737,2,3,2,3,21,0.7,7,9.12,10.31,1.7,5,0,0,1,40493,15927,29.34,7410,2047904
2183,3,1,2,4,13,14.92,2,7.6,5.34,8.43,3,1,0,0,40270,13916,36.3,8326,1895545
4096,3,4,3,4,50,15.51,2,6.23,16.97,15.37,9,1,1,1,96489,5449,146.83,5743,2893179
2088,1,2,4,3,22,19.3,8,2.41,17.39,14.69,7,1,1,0,139252,11324,49.89,7925,2662914
4607,2,2,1,1,4,12.21,4,8.87,9.93,12.14,6,0,1,0,139949,7295,92.1,9749,2262999
2051,2,1,3,0,32,0.96,7,4.63,11.04,0.72,4,1,0,0,133864,4407,133.27,4638,2143984
4829,6,5,3,1,4,3.76,5,7.97,13.53,5.2,8,0,1,1,52252,9022,125.19,6202,3781443
676,6,4,4,0,32,12.9,3,3.12,7.91,1.66,7,0,0,1,139648,6220,125.27,6094,3398575
1579,2,3,1,4,44,4.82,7,9.66,2.44,15.95,4,1,0,1,36432,2631,27.84,5736,1501564
1133,3,4,4,0,25,4.51,10,8.96,1.75,11.5,10,1,1,0,133673,14349,89.03,7855,3074428
906,5,2,4,4,5,23.0,9,9.37,13.64,3.7,5,0,1,0,81740,6921,27.01,8428,2727710
2798,2,5,1,1,39,0.8,3,1.24,1.51,16.99,7,0,1,0,83225,738,102.22,5661,2585498
2838,5,3,4,4,33,21.63,9,6.54,1.73,3.78,4,0,1,0,40011,7289,42.48,8430,3084903
3186,3,1,1,2,37,20.29,4,5.96,19.04,17.91,8,1,1,0,104001,3295,85.76,7583,1894800
3457,5,3,4,4,3,2.19,10,2.56,19.66,15.19,4,1,1,0,82657,11981,66.73,6988,3820916
2794,3,5,2,4,31,11.15,1,8.87,10.25,9.56,1,0,0,0,78169,5245,32.35,2274,2425190
3470,5,5,1,2,12,6.68,2,8.26,7.81,8.7,7,1,0,0,26391,3232,60.61,1507,2649671
2137,2,3,2,0,27,5.41,3,8.29,7.97,13.89,4,0,1,1,37098,13159,71.82,4714,1622299
1458,4,1,3,0,35,28.63,4,1.95,1.74,2.17,8,0,1,1,80962,8693,26.01,2804,2142080
736,5,1,1,0,48,24.51,7,7.94,16.06,5.04,6,0,1,0,67815,12594,31.31,8081,1466199
3461,2,3,1,1,41,28.38,3,7.34,16.22,19.47,7,1,0,0,72016,14072,62.45,7937,1173228
1880,3,5,2,1,23,26.57,8,4.99,2.08,6.37,1,1,1,0,85323,11547,44.91,3105,2907831
4540,6,3,2,3,7,9.82,8,9.49,10.69,14.21,9,0,1,0,32928,16141,146.2,6197,3156388
1266,1,3,2,2,7,5.14,9,3.81,7.6,6.45,7,1,0,0,139971,7181,77.68,8699,2234768
1257,5,1,4,3,38,9.97,6,6.89,11.08,9.77,1,0,1,0,137018,4505,104.44,2487,3013757
3803,1,4,1,3,6,6.59,1,2.02,13.61,9.31,9,0,0,0,79647,5819,23.85,5004,2230664
4351,5,4,3,3,16,0.86,2,6.13,13.48,17.12,6,1,0,1,114738,2375,112.25,8171,4054685
1716,3,1,1,3,17,6.57,3,3.73,13.39,19.74,2,0,1,1,61563,10056,105.65,8151,1673037
2750,5,2,2,1,3,19.5,5,2.14,1.93,2.05,9,1,1,0,49401,17490,124.87,6696,2498341
3268,5,2,2,2,44,12.97,6,2.32,16.99,10.16,7,1,1,0,119778,8155,32.81,8096,3093243
3076,1,4,1,2,41,24.74,2,1.87,17.69,9.78,2,0,1,1,117364,8433,102.26,1194,2139216
4950,5,1,4,4,27,17.51,6,5.08,7.83,2.67,9,0,0,1,33956,11074,102.42,5559,3023732
4501,3,4,2,1,17,21.21,6,9.87,16.68,17.2,8,0,1,1,24512,3572,106.43,9224,2487789
1779,3,2,1,3,20,1.94,1,8.16,4.68,0.86,2,1,1,1,55214,1084,115.91,6873,1808324
674,3,3,1,4,22,14.75,10,2.38,1.81,5.7,3,1,1,0,71999,7233,116.33,3816,2337365
1130,4,1,1,4,22,25.92,1,8.31,14.56,18.48,7,0,1,0,86915,17956,149.6,1883,1609264
4614,2,1,1,1,42,24.74,8,9.43,6.98,3.22,9,0,0,0,51642,3164,44.1,7392,1553560
4582,2,3,1,1,33,25.61,7,2.11,3.91,9.48,2,1,0,0,56604,6216,84.58,9102,1907486
1679,2,3,4,1,44,14.96,5,2.62,15.8,13.69,5,0,0,1,44266,1636,77.11,4906,2007318
2637,1,3,4,0,39,21.41,5,2.29,1.48,17.26,6,0,1,0,144822,571,132.26,6966,2240653
4984,4,4,2,3,18,20.31,3,5.4,9.48,7.29,3,0,0,1,145946,2841,36.6,3434,3282071
2460,3,1,1,0,15,19.84,1,1.96,9.77,4.16,1,0,1,1,147709,19399,56.26,9606,2068574
1348,2,2,2,1,11,7.23,3,9.16,11.38,15.81,9,1,1,0,143355,19358,59.57,2717,1975220
4432,1,5,3,4,28,28.78,4,5.32,3.8,4.89,2,1,0,0,69254,2272,87.06,4426,2641484
1053,3,1,2,0,28,25.35,5,3.43,12.17,11.4,4,0,0,1,103617,9619,148.0,8170,1314192
4954,1,1,2,1,28,2.31,5,6.17,8.22,6.47,6,1,1,0,77622,16499,134.7,1249,1634183
3128,2,3,3,4,33,4.34,4,9.25,11.26,2.47,2,0,0,0,87826,11051,27.53,3232,2574922
2796,4,4,2,2,32,14.85,6,2.97,1.87,7.74,5,0,1,0,48359,1591,78.01,1264,2827297
3866,4,4,1,3,13,23.08,4,1.82,11.67,19.74,7,0,0,1,64165,7716,23.32,5012,3104650
2183,6,1,2,2,43,2.18,8,5.44,2.0,9.6,4,1,0,0,74285,3695,125.4,3246,2389175
619,3,3,2,0,30,4.74,2,4.52,16.65,9.25,5,0,1,1,93253,9347,141.12,4994,1704813
3450,3,1,4,2,8,17.48,10,1.22,14.47,4.77,8,0,0,0,126750,15255,148.26,1560,2810041
4405,5,5,1,1,20,21.01,6,1.1,19.58,2.42,10,1,1,1,62183,14768,62.46,8318,3771873
1150,6,4,3,2,11,1.49,6,3.34,18.57,12.9,2,1,1,1,83484,9694,21.25,3855,3525453
1458,6,4,4,2,38,22.22,4,1.32,19.63,1.9,5,0,1,0,65759,18156,26.78,8843,2920688
1091,3,3,4,2,19,15.81,1,9.79,0.76,17.84,1,0,1,1,53406,12256,52.75,8568,2257753
4828,2,3,4,2,10,11.16,1,3.54,17.96,11.83,3,1,1,1,37635,10863,77.65,1991,2568040
2076,5,1,4,4,21,22.29,2,9.89,2.69,13.52,2,1,1,0,109294,12718,27.78,2925,2949926
3202,5,1,3,1,6,10.48,1,4.95,16.84,17.08,8,1,0,1,109622,9495,82.53,8933,2926343
2045,1,1,2,1,44,7.8,10,5.13,9.7,3.66,5,1,0,1,86833,8822,139.68,5555,1516897
3935,3,3,2,2,43,9.6,9,3.05,10.42,15.57,2,0,1,0,55632,9643,119.77,3574,2716846
3159,5,1,3,2,33,27.33,10,9.93,0.89,0.6,5,1,1,1,137576,13776,50.5,3534,3162684
4621,4,5,1,3,48,7.7,7,6.99,13.63,9.81,5,1,0,1,89616,1983,61.81,5492,3126157
3372,1,5,1,4,29,4.12,3,8.62,11.65,6.48,7,1,1,1,110990,13616,117.96,2337,2382056
2054,3,2,4,2,8,10.6,10,2.9,9.24,17.36,8,0,1,1,118569,15163,61.41,2913,2851428
3570,6,4,2,4,41,20.29,7,5.36,13.4,17.19,8,1,1,0,55611,1615,66.21,8377,3653845
953,2,3,1,0,23,11.37,5,3.3,6.0,12.98,10,1,1,1,37325,12630,70.63,4546,1830204
2616,3,5,3,2,21,22.11,8,4.51,16.75,15.18,7,0,0,1,110419,9396,146.3,1052,2922334
716,5,3,2,0,43,13.75,8,9.36,9.67,10.8,3,1,1,1,108113,17130,134.5,9158,2245601
2733,2,4,4,0,15,12.59,7,8.3,11.04,15.87,3,1,1,1,54629,18226,42.42,5677,2547297
3452,1,1,4,4,25,24.16,7,4.19,9.82,17.48,8,1,0,1,84352,3979,74.61,5717,2433168
1029,5,1,4,1,43,13.14,6,1.2,16.81,9.68,3,1,0,1,24728,3747,70.47,2211,2260097
3998,5,4,1,3,39,15.53,4,1.48,13.56,0.91,2,0,0,1,128111,19489,22.39,4416,3598659
2954,2,2,4,4,45,5.68,5,6.61,2.4,0.57,7,1,0,0,104523,6219,94.41,5923,2540218
2653,1,2,1,0,34,5.09,8,9.94,18.16,5.63,6,1,0,0,105658,5254,23.57,4089,1404044
987,3,5,4,3,43,13.27,10,3.28,4.73,18.98,5,0,0,1,66825,9904,135.26,9681,2961905
2956,4,2,4,3,15,9.54,9,6.67,6.83,14.83,1,0,1,1,123591,4977,108.89,2299,3568951
2174,1,4,2,2,2,28.49,6,4.17,3.58,9.15,10,0,1,1,108548,17245,51.99,8632,2177760
3732,5,4,4,4,15,22.15,9,6.12,5.73,12.09,3,1,1,0,86378,16477,82.42,9156,4191530
3642,5,1,1,2,1,13.57,3,6.37,17.39,19.17,7,1,0,1,33150,10879,83.19,2217,2567362
911,2,1,3,0,16,2.79,1,5.14,2.49,1.85,10,1,0,0,79820,2342,148.49,3949,1441110
3485,4,5,1,2,39,12.17,6,3.86,2.04,4.59,4,0,0,0,135639,4229,113.51,9374,3056986
3525,4,4,2,0,14,14.58,1,7.52,14.46,19.75,8,1,0,0,138645,15278,66.73,1454,3040759
2410,1,2,1,3,13,13.87,4,8.5,9.88,12.86,1,0,0,0,106576,9983,93.54,7778,1288642
1128,5,5,2,1,46,20.48,5,1.14,0.5,2.01,9,1,1,1,130949,19949,75.43,7600,3025764
1901,6,3,1,2,15,10.57,1,8.51,16.66,2.13,9,0,0,1,64428,2223,30.78,6174,2511896
1073,6,1,3,4,40,12.49,3,5.34,12.21,4.22,5,1,1,1,74675,2128,130.16,5205,2916973
3222,4,2,3,3,22,0.74,5,2.52,6.54,17.37,1,1,1,1,119204,4092,121.45,9061,3426495
2612,1,5,2,3,49,15.22,2,3.7,11.38,15.88,7,0,1,0,144157,2978,93.78,6411,2378051
4514,1,5,2,3,31,22.27,7,8.65,6.86,1.41,5,1,0,1,138769,9642,117.06,5269,2594708
3812,4,1,1,2,2,2.41,2,3.05,13.55,13.33,3,1,1,1,25636,10111,38.59,2028,2655210
4636,1,3,2,0,28,29.29,9,1.71,13.24,1.36,9,0,1,0,75828,12294,94.98,3525,1972789
4329,4,4,1,0,20,7.92,8,8.05,6.79,1.07,8,1,0,0,110152,15480,65.22,2816,3274606
548,1,4,4,4,16,5.78,5,9.77,7.57,9.02,9,1,1,1,124745,1998,76.35,8997,2423118
1256,5,2,2,4,48,7.36,10,8.78,5.55,0.71,10,0,0,1,40767,15326,143.77,6956,2457634
4880,2,2,4,3,17,23.66,1,9.06,13.72,2.49,1,1,1,1,110187,15747,101.65,7407,2932833
4919,1,1,2,1,21,22.78,3,1.55,4.72,2.37,1,0,0,1,84341,1761,122.98,7609,1558745
887,6,4,2,3,3,7.18,6,9.34,12.57,17.76,10,0,1,0,71304,14856,136.87,2259,3197401
3886,2,5,4,2,34,25.86,4,4.47,19.74,3.09,6,0,1,1,44642,5228,125.22,3427,2460168
3172,3,3,1,4,1,11.92,5,1.17,9.06,16.11,8,0,1,0,127115,18057,138.92,5710,2730641
